 count of obsPoints: 513
************ horizen circle *************************
************ Vertical circle *************************
the count of horizenCircle: 57
A1,5,12,953.43,1007.14,23.286,1.31364,953.528,1007.84,23.2964,1.41181,0.0927751,0.49629,147859,8.71339,
A1,15,10,953.789,1006.94,23.4969,1.09687,953.669,1008.63,23.3737,2.08784,0.00738495,0.049218,1.09361,0.0307873,
A1,25,10,953.813,1006.96,23.7039,1.08562,953.669,1008.63,23.3774,2.08632,0.00527394,0.0378185,0.274501,0.0236607,
A1,35,10,953.465,1007.29,23.9009,1.41576,953.67,1008.63,23.3753,2.08484,0.00369221,0.0256189,0.11031,0.0172522,
A1,45,8,953.959,1007.15,24.0829,1.19592,953.67,1008.63,23.3772,2.08451,0.00312185,0.0226972,0.0639849,0.0153645,
A1,55,11,954.088,1007.11,24.2431,0.944701,953.67,1008.63,23.3795,2.08386,0.00275656,0.0196534,0.036571,0.0132975,
A1,65,12,954.175,1007.17,24.3777,0.862522,953.671,1008.63,23.3809,2.08318,0.00252462,0.0170587,0.0242194,0.0116717,
A1,75,14,954.443,1007.54,24.4817,1.04435,953.671,1008.63,23.3828,2.08126,0.00237676,0.0107865,0.0180516,0.0082745,
A1,85,12,954.565,1007.76,24.5529,1.086,953.671,1008.63,23.3824,2.08088,0.00228713,0.00791803,0.0152578,0.0067034,
B1,35,4,954.682,1008.09,22.2912,0.96337,953.666,1008.61,23.4384,2.05035,0.00229283,0.00757829,0.0114969,0.00555164,
B1,45,4,954.721,1007.99,22.49,0.946813,953.661,1008.59,23.4933,2.01944,0.00236681,0.00724904,0.0090828,0.0047354,
B1,55,6,954.241,1007.6,22.6275,1.04612,953.656,1008.57,23.5545,1.98831,0.0025013,0.00687263,0.00692636,0.00406006,
B1,65,10,954.029,1007.56,22.7889,1.18683,953.655,1008.56,23.6162,1.96384,0.00258434,0.00660868,0.00555541,0.00371007,
B1,75,12,954.066,1007.43,22.9684,1.09945,953.654,1008.57,23.6662,1.95219,0.0025511,0.00645099,0.00479922,0.00366128,
B1,85,12,954.043,1007.4,23.1601,1.12035,953.656,1008.58,23.6964,1.94337,0.00246204,0.00634415,0.00445863,0.00366065,
C1,5,8,955.331,1007.87,23.2262,0.928708,953.67,1008.57,23.6803,1.94175,0.00243358,0.00615521,0.00445522,0.00355864,
C1,15,8,955.329,1007.87,23.4354,0.928104,953.686,1008.57,23.6674,1.94212,0.00238084,0.00589284,0.00450124,0.00343942,
C1,25,8,955.3,1007.85,23.641,0.918331,953.696,1008.57,23.661,1.94579,0.0023064,0.0055617,0.00457157,0.00329922,
C1,35,6,955.105,1007.65,23.8143,0.935637,953.7,1008.57,23.66,1.94755,0.00224834,0.00524974,0.00459727,0.0031705,
C1,45,6,955.021,1007.62,23.9944,0.910299,953.699,1008.57,23.6599,1.94701,0.00220849,0.0049981,0.00455849,0.0030651,
C1,55,6,954.913,1007.57,24.153,0.880865,953.697,1008.57,23.6575,1.94516,0.00218695,0.00483634,0.00446793,0.00300022,
C1,65,8,954.939,1007.64,24.307,0.815531,953.695,1008.57,23.6522,1.94294,0.00217071,0.00473342,0.00429345,0.00295836,
C1,75,8,954.801,1007.55,24.4772,0.78195,953.694,1008.57,23.6458,1.94267,0.00216129,0.00465228,0.00406278,0.00292673,
C1,85,10,954.71,1007.99,24.2875,1.22376,953.688,1008.58,23.6363,1.95277,0.00205621,0.00394623,0.00387677,0.00251874,
D1,45,4,954.849,1008,22.2519,1.03165,953.689,1008.58,23.6125,1.95872,0.00202862,0.00384626,0.00375121,0.00247336,
D1,55,6,955.038,1007.93,22.4823,0.830045,953.691,1008.58,23.5833,1.96897,0.00196634,0.00369317,0.00345545,0.00241225,
D1,65,8,955.09,1008.47,22.715,1.14489,953.686,1008.6,23.5636,1.98652,0.00184174,0.00315444,0.00320573,0.00208455,
D1,75,8,955.139,1008.52,23.011,1.17301,953.684,1008.6,23.5646,1.98927,0.00176925,0.0026989,0.0030753,0.00181735,
D1,85,8,955.161,1008.53,23.2618,1.17839,953.686,1008.59,23.5708,1.9831,0.00173634,0.00241293,0.00302152,0.00166712,
A2,5,12,953.446,1007.18,23.2403,1.28637,953.675,1008.6,23.5578,1.99416,0.00142185,0.00220276,0.00292412,0.00142983,
A2,15,10,953.797,1006.98,23.4412,1.07716,953.675,1008.6,23.555,1.99522,0.00132511,0.00213057,0.00288765,0.00137573,
A2,25,10,953.818,1006.99,23.6399,1.06933,953.675,1008.6,23.555,1.99515,0.00124826,0.00207779,0.00288119,0.00133609,
A2,35,8,953.897,1007.12,23.8325,1.21379,953.675,1008.6,23.5551,1.99453,0.001188,0.00205133,0.00287611,0.00130655,
A2,45,12,953.569,1007.23,24.0126,1.22357,953.677,1008.6,23.5538,1.99327,0.00106235,0.00195518,0.00283601,0.00120737,
A2,55,12,953.649,1007.27,24.1727,1.18513,953.678,1008.6,23.5502,1.99138,0.000976606,0.0018873,0.00276495,0.00113986,
A2,65,14,953.849,1007.27,24.309,1.0706,953.679,1008.6,23.543,1.98995,0.000914535,0.00183353,0.00265628,0.00109273,
A2,75,14,953.96,1007.34,24.4169,1.03503,953.68,1008.6,23.534,1.98865,0.000869814,0.00179295,0.00252951,0.00105993,
A2,85,16,954.223,1007.64,24.4957,1.16409,953.681,1008.59,23.5229,1.98639,0.000836925,0.00169899,0.0023616,0.00101373,
B2,45,4,954.696,1007.87,22.3358,0.974481,953.681,1008.59,23.5242,1.98611,0.000837228,0.00168319,0.00219077,0.000997613,
B2,55,6,954.168,1007.49,22.5019,1.09445,953.681,1008.59,23.5281,1.98506,0.000834226,0.00166946,0.00201289,0.000986225,
B2,65,12,954.013,1007.38,22.6952,1.1292,953.681,1008.6,23.5363,1.98276,0.000806334,0.00164356,0.00180999,0.000962648,
B2,75,12,953.973,1007.32,22.9096,1.17279,953.682,1008.6,23.5439,1.98061,0.000777202,0.00161716,0.00170856,0.000943496,
B2,85,12,953.946,1007.28,23.1384,1.19959,953.682,1008.6,23.5506,1.97845,0.000749301,0.00159244,0.00166373,0.000927106,
C2,5,8,955.283,1007.87,23.2389,0.908221,953.684,1008.6,23.5472,1.98001,0.000739131,0.00155787,0.00165158,0.000911714,
